,nickname,text,score,like,dislike,time,watch_movie
91,단추두개(robo****),그냥 저냥 볼만하지만 중간이 너무 루즈함.,6,36,17,2015-04-24 00:08:00,0
92,감쟈링(hari****),진짜 영상이랑 스토리랑 모두 다 유치해서 보는 내내 한숨밖에 안나왔어요  한국은 왜그렇게 낙후된모습으로 표현됬는지,1,37,18,2015-05-02 08:32:00,0
93,yaga****,기대해서 그런가...  지루함...,1,37,18,2015-04-27 08:05:00,관람객
94,Binna(bbbb****),생각보다 기대 이하 전편이 더 재미있음,9,25,7,2015-04-24 00:05:00,관람객
95,레몬트리(lbj6****),시사회보고왔는데스케일이다름,10,32,14,2015-04-23 08:24:00,0
96,민국대한우리(meso****),전 별로네여. 기대만큼은 아니에여,1,33,15,2015-04-24 23:37:00,관람객
97,netr****,눈못땔정도로멍하게봤내요대박..짱짱!!,10,33,15,2015-04-24 02:07:00,관람객
98,xete****,후 ...장면이야 당연히 멋있지만스토리 등등 미약해,1,34,16,2015-04-27 17:38:00,관람객
99,buddt(rera****),기대를 너무 많이했나봐요....지금까지 마블영화중 최악이에요 ㅠㅠ,1,49,31,2015-04-25 22:55:00,관람객
100,roko****,평점 7점정도의영화같아요 .. 3D로봤는데 1에비하면 너무재미없었어요 별1준건 별점깎아서 평점 평균 7점정도로 되었으면 하는마음에 1줍니다 ..,1,69,51,2015-04-24 06:30:00,0
101,영화쟁이(foma****),딴거 몰겠고 헐크 폭주하고 베로니카랑 맞짱 뜰때가 최고였음 밤새고 조조로 봐서 그런가 유머코드도 피식정도고 스토리도 잘안들어온다 3디로 봤지만 그래비티 보다 효과 별로 돌출이 별로 없어서 그런지 스케일과 세계관은 인...,8,23,6,2015-04-23 13:01:00,0
