,nickname,text,score,like,dislike,time,watch_movie
134,김프로(just****),와칸다 포에버 어벤져스 포에버,10,278,4,2018-04-25 20:49:00,0
135,한국어좀해줘(emrw****),토르는 소름돋을정도로 멋졌고 결말은.. 멘탈이 가루가 되어버리네..,10,278,4,2018-04-25 15:29:00,0
136,BetterThanFlower(njs3****),충격 그자체..마블은 매번 역대급이네..,10,273,12,2018-04-25 11:53:00,0
137,back****,2편이 나와야만 하내 헐....,10,276,21,2018-04-25 10:40:00,0
138,ddddddd(qhtj****),댓글알바아니고 그냥 호감순 1등 먹으려는애들 아님? ㅋㅋㅋㅋ 국산영화도아니고 뭐 댓글알바가잇냐,10,336,81,2018-04-25 09:28:00,0
139,혀언(yhki****),세번소름끼쳤다첫번째 캡틴아메리카 등장할때두번째 토르무기들고 복귀할때세번째 시간끝났는데 사람들이 다 앉아서 멍깔때,10,251,3,2018-04-25 14:53:00,관람객
140,이수현(masu****),타노스의 감성이 폭발한다.,7,264,17,2018-04-25 12:40:00,관람객
141,RhfepQk(helo****),캡아 등장씬이 거진 수양대군등장씬에맞먹음ㅋ 진지충캡아대존잘ㅜㅠ,10,243,6,2018-04-25 20:50:00,0
142,육지단(dydd****),"""우당탕탕""을 기대하고 갔다가 내 뒷통수 ""우당탕탕"" 뚜두러 맞고 집에 돌아왔다...",10,236,8,2018-04-25 12:50:00,관람객
143,김민성(hell****),"정말 그나마 스포안당하고 조조로 본거에 감사하는중,,ㅎ",10,235,11,2018-04-25 11:25:00,관람객
144,dlwh****,이게 다 목을 안 쳤기 때문이다,9,226,6,2018-04-25 21:13:00,0
145,gktj****,스톰브레이커를  들고 와칸다에 등장한 토르의 모습을 보고 온 몸에 전율이 돋았다.,10,223,4,2018-04-26 21:23:00,0
146,기현이안녕(rlgu****),무슨 말이 더필요하죠?,10,255,37,2018-04-25 09:27:00,0
147,현규(sund****),아마 이 관객의 반도 멘탈이 먼지처럼 날아갔을듯.,10,219,9,2018-04-25 16:01:00,0
148,케사장(kyun****),이번 어벤져스의 주인공은 타노스라고 생각하고 영화보셔야 재밌습니다,8,221,11,2018-04-25 13:23:00,0
149,용쨩(ehdd****),토르 진짜 왜이렇게 멋있냐 소름돋았다,10,208,3,2018-04-26 21:29:00,0
150,happ****,신랑이내일보자그래서 오늘몰래혼자보러왔는데 내일안본척하고신랑이랑또봐야겠어요,10,218,22,2018-04-25 12:35:00,0
151,tyan****,스트레인지 대사가 이상하다고 생각했는데 오역이였다니...스토리 전체를 말아먹는 오역이네,10,183,4,2018-04-25 20:52:00,0
152,crim****,재밌었다... 드디어 타노스를 만나게 되서 너무 좋았고 향후 10년 마블 스토리가 어떻게 전개될지 너무 궁금하다. 마블 세대에 살고 있다는 게 감사하다. 스타워즈 시리즈에 열광하는 사람들을 이해 못 했었는데 마블 시...,10,176,2,2018-04-26 23:20:00,0
153,아르펠리노(robo****),어벤져스를 그저 어린 애들을 위한 영화라고 생각하고 보면 큰 오산이다,10,181,8,2018-04-25 15:08:00,0
154,뛰뛰빵빵(ihod****),번역하시 분.. 나오세요..,10,179,7,2018-04-25 16:23:00,0
155,저녁(over****),소울스톤 가지러 갈 때 그 망령같은애 캡틴아메리카 1편에 걔 아님?,10,182,10,2018-04-26 17:45:00,관람객
156,Grayhound(beom****),야이 개념없는 ㅅㄲ들아 댓글에다 스포좀 하지마라이거 법적으로 책임좀 물려야지 참나...,10,190,27,2018-04-25 10:09:00,0
157,아잉잇팅(hyck****),박지훈 번역가좀 짤라주세요말한마디로 영화판도가 달라짐마더퍼커가 어떻게 어머니를 찾는 효자로 바뀝니까?이거는 중학생들도 알겠구만 차라리구글번역기를 써라,10,164,5,2018-04-25 19:34:00,0
158,봉이(dmlq****),헐크 타노스 만나고 분노조절 장애 완치됨 ㅋㅋ,8,161,3,2018-04-26 01:24:00,관람객
159,psh9****,완벽하지 못한 영웅들과 자기나름대로의 철학을 가진 최강의 악당 타노스,10,154,2,2018-04-25 13:32:00,0
160,JeongDooKim(jdhe****),"이거 엔딩후 영상있나요? 엔딩크레딧 졸라길어서 안보고 나왔는데.. 있으면 추천,없으면비추좀..",10,166,20,2018-04-26 01:57:00,0
161,이쁜레아(pret****),"이번편  제목은 ""타노스의 대모험""",9,149,5,2018-04-25 22:04:00,0
162,스플래쉬(lord****),영화끝나고 나서 타임스톤으로 149분전으로 돌아가고 싶었습니다. 예고편으로 스토리라인 예상하면 엿드시게 될거고 기존 마블영화와 후반부와 엔딩의 분위기가 180도 달라요 .. 극중 한 캐릭터의 대사를 제 마음에 빗대어...,8,158,15,2018-04-25 12:53:00,0
163,옆집강아지가질래(dhaw****),도대체 앤트맨이랑 호크아이는 주연 출연진에 왜있는거임?,10,152,10,2018-04-25 20:08:00,0
164,붉은교룡(crup****),이 영화 최대 빌런은 타노스가 아니라 박지훈이다,10,136,1,2018-04-25 23:45:00,관람객
165,얌얌쩝쩝(www3****),토르 미쳤다 정말....너무 섹시하다,10,138,4,2018-04-27 13:24:00,0
166,돋네(whrb****),“타노스는 돌아온다” 에서 소름돋았네요,10,133,2,2018-04-25 21:27:00,관람객
167,MonkeyHoon(monk****),다른 나라에서는 환호성 치는 장면이 우리나라에서는 번역가 때문에 개암울한 장면이 됨. 엄청 기대하고 봤고 닥터 좋아하는데 이상한짓 하길래 뭐지 싶어서 찾아보니까 오역. 영화결말을 바꿔버렸네 진짜.,10,129,2,2018-04-26 01:05:00,0
168,104t****,토르가즘이 온몸을 통해서 부르르르,10,127,1,2018-04-27 13:44:00,0
169,감띠(gold****),캬 어벤져스를 문화의 날로 5천원주고 봤는데 5천원밖에 안준게 미안할정도의 영화였다 ㄹㅇ,10,128,2,2018-04-26 02:55:00,0
170,mamo****,일이 손에 안잡힌다..,10,127,2,2018-04-25 19:25:00,관람객
171,틱톡(jkdk****),스포일러에게 맞지 않으려면 선빵치는 방법밖에 없다. 그렇다 분명 나는 선빵을 쳤지만 영화에게 처절하게 짓밟혔다.,10,125,1,2018-04-25 18:25:00,관람객
172,dddn(boyb****),닉퓨리가 거기서 왜 엄마를 찾냐? 뒤에 f단어 하지못한거겟지. 영알못인 나도 그정도는 알겟다,8,127,3,2018-04-25 18:30:00,0
173,osw7****,아니 얘들아 어차피 첫 조조타임이 8시 30분이고 지금 9시 반이라 첫 상영보는사람도 아직 다 안보고 보는중이야. 지금 평점 쓴애들은 다 안본애들이라고 생각하면되,10,232,112,2018-04-25 09:46:00,0
174,슬픈개소리(sest****),일찍볼수록 보람이 있어요 온갖스포에 시달리기전에 가는게 좋을듯,8,125,6,2018-04-25 11:20:00,0
175,브래드피트(sana****),잘봤는데 3시간으론 부조하더라 5시간으로 만들어도 될 영화다.,10,117,4,2018-04-26 02:26:00,0
176,세빈(lind****),박지훈이 말아먹은 닥스 이미지 누가 회복해주죠? 제발 양심이 있다면 지금이라도 영화계에서 발 빼세요 정말 오만가지 상욕들이 다 나오고 그냥 진짜 딱 한대만 후려칠 수 있으면 소원이 없겠다고ㅋㅋ 번역이 애들 장난이야?...,10,118,5,2018-04-26 03:03:00,0
177,79799s(chan****),제레미레너 주연은뭐여ㅋ,10,120,7,2018-04-25 12:40:00,0
178,리퐁(hoih****),타임스톤으로 인워 보기전으로 돌려주십쇼 진짜 마음에 준비 좀 하고 다시보게,10,113,1,2018-04-25 15:38:00,0
179,겁나피곤해(lsj1****),일보고 난뒤 찝찝한기분 2편은 언제나올려나?,10,116,9,2018-04-25 11:18:00,관람객
180,hyub(hyub****),정은이한테 지금 이영화 보여주면 5월 북미회담 100프로 성공한다  -북한 김정은 위원장 핵폐기선제조건 어벤져스4 스포공개 원해-,10,110,5,2018-04-26 03:36:00,0
181,스야(dlwh****),번역가는 대가리박고 사과해야한다. 영화의 품질을 떨어트리는  수준.,1,109,5,2018-04-26 08:08:00,0
182,milreo(wnsc****),"번역가 정말 대단하네요. ""Mother fu..""라는 대사를 어머니로 번역해놓으셨어요",10,104,1,2018-04-25 21:07:00,관람객
183,95(qwee****),보지도않고 댓글쓰는애들 특징 - 말이필요없다하고 웅장하다하고 쿠키영상중요하다고함 .. 누가모르니?ㅋㅋㅋ,9,134,33,2018-04-25 10:07:00,0
184,가온길(kkam****),다 좋은데 마지막 오역 왜 그렇게 꼬아두면서 떡밥 하나를 가려버린건지 모르겠다,10,103,3,2018-04-25 19:27:00,관람객
185,유승현(ssam****),충격입니다 충격 그 이외에는 할말이 딱히...,10,107,12,2018-04-25 10:32:00,0
186,ella****,분명 재밌는데 욕하면서 나옴. 본 사람은 무슨 말인지 이해할거고 볼 사람들도 보고나면 무슨 뜻인지 알듯.,10,96,2,2018-04-25 20:31:00,0
187,Twinkle(cors****),오역이 아쉽지만 너무 잘만든 영화..마블이 작정하고 만듬.지루한장면이 하나도 없다,10,94,1,2018-04-25 22:20:00,관람객
188,1223****,타노스는 그저 강할뿐  모든면에서...타노스도  지금 이렇게 허무할까?,10,96,3,2018-04-25 13:03:00,관람객
189,꽈일(arar****),물 많이 먹지마세요 지리는 장면이 많아서 진짜 참다가 죽을뻔 나가려고 했는데 일어나면 관객들이 어벤져스마냥 나를 빌런으로 생각하고 죽일까봐 고민하다가 닥터스트 빙의해 과거로 돌아가 군대 화생방 참던시절의 초능력을 발...,10,97,4,2018-04-27 19:57:00,0
