,nickname,text,score,like,dislike,time,watch_movie
245,No21NunoGomes(thep****),정말 재미있게 봤음..마지막에 귀가 안들릴때 이 사람이 무슨말을 했는지 다시 한번 생각해보는 장면에서 참 감동적이었고 사랑이란 감정이 위대하구나 느낌..,10,9,0,2017-07-19 06:33:00,0
246,dkdk****,너무너무재밋자넘나멋잇어요추천,10,9,0,2017-06-04 19:20:00,관람객
247,김정은(ps_b****),재밌어요 시원한 영화입니다,9,9,0,2017-06-04 17:26:00,관람객
248,찐만두(kjmm****),가돗 혼자 하드캐리~~~~,8,9,0,2017-06-04 15:45:00,관람객
249,ghfu****,"마지막 남자주인공 죽기 전 시계넘겨주면서 했던말이 너무 멋있었다. ""난 오늘을 구하고 당신을 세계를 구해라"" 그리고 마지막 사랑해ㅜ",10,10,1,2017-07-23 21:17:00,0
250,only****,디씨 살린 원더우먼 갤가돗 이쁨,8,10,1,2017-06-04 22:20:00,관람객
251,qkrr****,개재밌어요 주인공 진짜 대박,10,10,1,2017-06-04 22:20:00,관람객
252,최형옥(hyeo****),DC의 최고의 선택이다! 강추합니다. 중간에 울뻔 ㅠ ㅋㅋ,10,10,1,2017-06-04 11:25:00,관람객
253,o___****,지젤눈웃음 여자인데 심쿵 ㅠㅠ,10,10,1,2017-06-04 05:46:00,관람객
254,땡(chob****),갤 가돗 앞으로 DC코믹스를 책임쳐주세요.,9,10,1,2017-06-03 23:45:00,관람객
255,cir3max(spos****),와 진짜욕나오게재밋다 개쩐다 이번년도최고영화다 주인공도존나이쁘다!!!진심 인정 미친듯이재밋다!!!,10,10,1,2017-06-03 22:06:00,관람객
256,ikar****,슈퍼맨vs배트맨보다 훨씬낫네,10,10,1,2017-06-03 21:27:00,관람객
257,tntm****,한번 더 볼 만한거같아욬ㅋㅋ액션씬이 진짜 좋았어요!,8,10,1,2017-06-03 01:51:00,관람객
258,국민꽃미남 구자욱(lion****),지렿다 꼭 보셈  존나강추,10,10,1,2017-05-31 13:33:00,0
259,noble savage(snas****),이정도면 1만원 내고 볼만하지.,9,10,1,2017-05-31 12:31:00,0
260,jazz(njjy****),"지금 조조 보고 나왔는데, 미쳤다. 반할수 밖에 없다. 짱짱걸♥♥♥",10,10,1,2017-05-31 11:36:00,0
261,현9(heon****),선장님은 진짜 캡틴이었다,10,10,1,2017-05-31 11:30:00,0
262,양다정(rhae****),아바타인지 파워레인저인지 어벤저스인지 하나만하길...,1,11,2,2017-06-17 16:46:00,0
263,편운거(pani****),원더우먼....= 갤 가돗....들판에서 기관총을 막아내는 씬이 압권이었으며음악과 함께 어우러진 갤 가돗의 액션씬...원더우먼 역에 딱 맞춤이었네요.DC의 구원투수 역활을 잘 해낸것 같습니다.,9,11,2,2017-06-03 16:29:00,관람객
264,gksp****,여성만이 느낄수있는 카타르시스가 있었습니다. 재밌었어요,10,11,2,2017-06-01 18:48:00,관람객
265,duke****,올해 개봉한 슈퍼히어로 영화 중 제일 재미있네요. 저스티스리그도 이 레벨 이상으로 완성해주길! !,10,11,2,2017-06-01 09:04:00,관람객
266,김우주(wjms****),유치한데 이래야 원더우먼이지그리고 중간중간 울컥하기도함...,10,11,2,2017-06-01 08:44:00,0
267,별명따위(tjem****),애플랙형! 보고있어? 형 배트맨 솔로영화 나올것같아!!,10,11,2,2017-06-01 08:06:00,0
268,Wolverine(hoha****),메인 테마 깔리면서 전장으로 들어갈때 진짜 개소름,10,11,2,2017-06-01 07:08:00,0
269,Neue(neue****),"완벽한 dc의 귀환, 저스티스 리그가 기다려지는 나날이다!",10,11,2,2017-06-01 04:15:00,0
270,허니랜드(kict****),저스티스 리그. 활활 타오르는 그 축제의 횃불.,10,11,2,2017-06-01 03:01:00,0
271,백현유딩(uj_u****),원래 이런장르 영화안보는데 이건 진심 핵잼??완전 멋있어!!!!????,10,11,2,2017-06-01 02:57:00,0
